Type                                  Module                      Label             Process           
------------------------------------------------------------------------------------------------------
GenEventInfoProduct                   "generator"                 ""                "SIM"             
edm::TriggerResults                   "TriggerResults"            ""                "SIM"             
FEDRawDataCollection                  "hltFEDSelectorL1"          ""                "HLT"             
ROOT::Math::PositionVector3D<ROOT::Math::Cartesian3D<float>,ROOT::Math::DefaultCoordinateSystemTag>    "genParticles"              "xyz0"            "HLT"             
double                                "hltScoutingPFPacker"       "pfMetPhi"        "HLT"             
double                                "hltScoutingPFPacker"       "pfMetPt"         "HLT"             
double                                "hltScoutingPFPacker"       "rho"             "HLT"             
edm::TriggerResults                   "TriggerResults"            ""                "HLT"             
float                                 "genParticles"              "t0"              "HLT"             
vector<Run3ScoutingElectron>          "hltScoutingEgammaPacker"   ""                "HLT"             
vector<Run3ScoutingMuon>              "hltScoutingMuonPackerNoVtx"   ""                "HLT"             
vector<Run3ScoutingMuon>              "hltScoutingMuonPackerVtx"   ""                "HLT"             
vector<Run3ScoutingPFJet>             "hltScoutingPFPacker"       ""                "HLT"             
vector<Run3ScoutingParticle>          "hltScoutingPFPacker"       ""                "HLT"             
vector<Run3ScoutingPhoton>            "hltScoutingEgammaPacker"   ""                "HLT"             
vector<Run3ScoutingTrack>             "hltScoutingTrackPacker"    ""                "HLT"             
vector<Run3ScoutingVertex>            "hltScoutingMuonPackerNoVtx"   "displacedVtx"    "HLT"             
vector<Run3ScoutingVertex>            "hltScoutingMuonPackerVtx"   "displacedVtx"    "HLT"             
vector<Run3ScoutingVertex>            "hltScoutingPrimaryVertexPacker"   "primaryVtx"      "HLT"             
edm::TriggerResults                   "TriggerResults"            ""                "RECO"            
edm::Association<vector<reco::GenParticle> >    "lostTracksToGenAssociation"   ""                "PAT"             
edm::Association<vector<reco::GenParticle> >    "packedPFCandidateToGenAssociation"   ""                "PAT"             
edm::TriggerResults                   "TriggerResults"            ""                "PAT"             
vector<pat::PackedCandidate>          "lostTracks"                ""                "PAT"             
vector<pat::PackedCandidate>          "packedPFCandidates"        ""                "PAT"             
vector<pat::PackedCandidate>          "lostTracks"                "eleTracks"       "PAT"             
vector<pat::PackedGenParticle>        "packedGenParticles"        ""                "PAT"             
vector<reco::GenParticle>             "prunedGenParticles"        ""                "PAT"             
edm::TriggerResults                   "TriggerResults"            ""                "TrackProducer"   
edm::ValueMap<edm::Ref<vector<Run3ScoutingTrack>,Run3ScoutingTrack,edm::refhelper::FindUsingAdvance<vector<Run3ScoutingTrack>,Run3ScoutingTrack> > >    "hltScoutingUnpackProducer"   "Track-RefToOriginal"   "TrackProducer"   
edm::ValueMap<edm::Ref<vector<Run3ScoutingVertex>,Run3ScoutingVertex,edm::refhelper::FindUsingAdvance<vector<Run3ScoutingVertex>,Run3ScoutingVertex> > >    "hltScoutingUnpackProducer"   "PrimaryVertex-RefToOriginal"   "TrackProducer"   
vector<reco::Track>                   "hltScoutingUnpackProducer"   "Track"           "TrackProducer"   
vector<reco::Vertex>                  "hltScoutingUnpackProducer"   "PrimaryVertex"   "TrackProducer"   
