Type                                  Module                      Label             Process           
------------------------------------------------------------------------------------------------------
GenEventInfoProduct                   "generator"                 ""                "SIM"             
edm::TriggerResults                   "TriggerResults"            ""                "SIM"             
FEDRawDataCollection                  "hltFEDSelectorL1"          ""                "HLT"             
ROOT::Math::PositionVector3D<ROOT::Math::Cartesian3D<float>,ROOT::Math::DefaultCoordinateSystemTag>    "genParticles"              "xyz0"            "HLT"             
double                                "hltScoutingPFPacker"       "pfMetPhi"        "HLT"             
double                                "hltScoutingPFPacker"       "pfMetPt"         "HLT"             
double                                "hltScoutingPFPacker"       "rho"             "HLT"             
edm::TriggerResults                   "TriggerResults"            ""                "HLT"             
float                                 "genParticles"              "t0"              "HLT"             
vector<Run3ScoutingElectron>          "hltScoutingEgammaPacker"   ""                "HLT"             
vector<Run3ScoutingMuon>              "hltScoutingMuonPackerNoVtx"   ""                "HLT"             
vector<Run3ScoutingMuon>              "hltScoutingMuonPackerVtx"   ""                "HLT"             
vector<Run3ScoutingPFJet>             "hltScoutingPFPacker"       ""                "HLT"             
vector<Run3ScoutingParticle>          "hltScoutingPFPacker"       ""                "HLT"             
vector<Run3ScoutingPhoton>            "hltScoutingEgammaPacker"   ""                "HLT"             
vector<Run3ScoutingTrack>             "hltScoutingTrackPacker"    ""                "HLT"             
vector<Run3ScoutingVertex>            "hltScoutingMuonPackerNoVtx"   "displacedVtx"    "HLT"             
vector<Run3ScoutingVertex>            "hltScoutingMuonPackerVtx"   "displacedVtx"    "HLT"             
vector<Run3ScoutingVertex>            "hltScoutingPrimaryVertexPacker"   "primaryVtx"      "HLT"             
edm::TriggerResults                   "TriggerResults"            ""                "RECO"            
edm::TriggerResults                   "TriggerResults"            ""                "PAT"             
edm::TriggerResults                   "TriggerResults"            ""                "TrackProducer3"   
edm::ValueMap<edm::Ref<vector<Run3ScoutingTrack>,Run3ScoutingTrack,edm::refhelper::FindUsingAdvance<vector<Run3ScoutingTrack>,Run3ScoutingTrack> > >    "hltScoutingUnpackProducer"   "Track-RefToScouting"   "TrackProducer3"   
edm::ValueMap<edm::Ref<vector<Run3ScoutingVertex>,Run3ScoutingVertex,edm::refhelper::FindUsingAdvance<vector<Run3ScoutingVertex>,Run3ScoutingVertex> > >    "hltScoutingUnpackProducer"   "PrimaryVertex-RefToScouting"   "TrackProducer3"   
vector<reco::Track>                   "hltScoutingUnpackProducer"   "Track"           "TrackProducer3"   
vector<reco::Vertex>                  "hltScoutingUnpackProducer"   "PrimaryVertex"   "TrackProducer3"   
edm::TriggerResults                   "TriggerResults"            ""                "VertexProducer"   
reco::BeamSpot                        "offlineBeamSpot"           ""                "VertexProducer"   
vector<reco::Vertex>                  "Vertexer"                  ""                "VertexProducer"   
